date,expected_bars,observed_bars,missing_bars,coverage,symbol
2023-01-03,390,390,0,1.0,BAC
2023-01-04,390,390,0,1.0,BAC
2023-01-05,390,390,0,1.0,BAC
2023-01-06,390,390,0,1.0,BAC
2023-01-09,390,390,0,1.0,BAC
2023-01-10,390,390,0,1.0,BAC
2023-01-11,390,390,0,1.0,BAC
2023-01-12,390,390,0,1.0,BAC
2023-01-13,390,390,0,1.0,BAC
2023-01-17,390,390,0,1.0,BAC
2023-01-18,390,390,0,1.0,BAC
2023-01-19,390,390,0,1.0,BAC
2023-01-20,390,390,0,1.0,BAC
2023-01-23,390,390,0,1.0,BAC
2023-01-24,390,390,0,1.0,BAC
2023-01-25,390,390,0,1.0,BAC
2023-01-26,390,390,0,1.0,BAC
2023-01-27,390,390,0,1.0,BAC
2023-01-30,390,390,0,1.0,BAC
2023-01-31,390,390,0,1.0,BAC
2023-02-01,390,390,0,1.0,BAC
2023-02-02,390,390,0,1.0,BAC
2023-02-03,390,390,0,1.0,BAC
2023-02-06,390,390,0,1.0,BAC
2023-02-07,390,390,0,1.0,BAC
2023-02-08,390,390,0,1.0,BAC
2023-02-09,390,390,0,1.0,BAC
2023-02-10,390,390,0,1.0,BAC
2023-02-13,390,390,0,1.0,BAC
2023-02-14,390,390,0,1.0,BAC
2023-02-15,390,390,0,1.0,BAC
2023-02-16,390,390,0,1.0,BAC
2023-02-17,390,390,0,1.0,BAC
2023-02-21,390,390,0,1.0,BAC
2023-02-22,390,390,0,1.0,BAC
2023-02-23,390,390,0,1.0,BAC
2023-02-24,390,390,0,1.0,BAC
2023-02-27,390,390,0,1.0,BAC
2023-02-28,390,390,0,1.0,BAC
2023-03-01,390,390,0,1.0,BAC
2023-03-02,390,390,0,1.0,BAC
2023-03-03,390,390,0,1.0,BAC
2023-03-06,390,390,0,1.0,BAC
2023-03-07,390,390,0,1.0,BAC
2023-03-08,390,390,0,1.0,BAC
2023-03-09,390,390,0,1.0,BAC
2023-03-10,390,390,0,1.0,BAC
2023-03-13,390,390,0,1.0,BAC
2023-03-14,390,390,0,1.0,BAC
2023-03-15,390,390,0,1.0,BAC
2023-03-16,390,390,0,1.0,BAC
2023-03-17,390,390,0,1.0,BAC
2023-03-20,390,390,0,1.0,BAC
2023-03-21,390,390,0,1.0,BAC
2023-03-22,390,390,0,1.0,BAC
2023-03-23,390,390,0,1.0,BAC
2023-03-24,390,390,0,1.0,BAC
2023-03-27,390,390,0,1.0,BAC
2023-03-28,390,390,0,1.0,BAC
2023-03-29,390,390,0,1.0,BAC
2023-03-30,390,390,0,1.0,BAC
2023-03-31,390,390,0,1.0,BAC
2023-04-03,390,390,0,1.0,BAC
2023-04-04,390,390,0,1.0,BAC
2023-04-05,390,390,0,1.0,BAC
2023-04-06,390,390,0,1.0,BAC
2023-04-10,390,390,0,1.0,BAC
2023-04-11,390,390,0,1.0,BAC
2023-04-12,390,390,0,1.0,BAC
2023-04-13,390,390,0,1.0,BAC
2023-04-14,390,390,0,1.0,BAC
2023-04-17,390,390,0,1.0,BAC
2023-04-18,390,390,0,1.0,BAC
2023-04-19,390,390,0,1.0,BAC
2023-04-20,390,390,0,1.0,BAC
2023-04-21,390,390,0,1.0,BAC
2023-04-24,390,390,0,1.0,BAC
2023-04-25,390,390,0,1.0,BAC
2023-04-26,390,390,0,1.0,BAC
2023-04-27,390,390,0,1.0,BAC
2023-04-28,390,390,0,1.0,BAC
2023-05-01,390,390,0,1.0,BAC
2023-05-02,390,390,0,1.0,BAC
2023-05-03,390,390,0,1.0,BAC
2023-05-04,390,390,0,1.0,BAC
2023-05-05,390,390,0,1.0,BAC
2023-05-08,390,390,0,1.0,BAC
2023-05-09,390,390,0,1.0,BAC
2023-05-10,390,390,0,1.0,BAC
2023-05-11,390,390,0,1.0,BAC
2023-05-12,390,390,0,1.0,BAC
2023-05-15,390,390,0,1.0,BAC
2023-05-16,390,390,0,1.0,BAC
2023-05-17,390,390,0,1.0,BAC
2023-05-18,390,390,0,1.0,BAC
2023-05-19,390,390,0,1.0,BAC
2023-05-22,390,390,0,1.0,BAC
2023-05-23,390,390,0,1.0,BAC
2023-05-24,390,390,0,1.0,BAC
2023-05-25,390,390,0,1.0,BAC
2023-05-26,390,390,0,1.0,BAC
2023-05-30,390,390,0,1.0,BAC
2023-05-31,390,390,0,1.0,BAC
2023-06-01,390,390,0,1.0,BAC
2023-06-02,390,390,0,1.0,BAC
2023-06-05,390,386,4,0.9897435897435898,BAC
2023-06-06,390,390,0,1.0,BAC
2023-06-07,390,390,0,1.0,BAC
2023-06-08,390,390,0,1.0,BAC
2023-06-09,390,390,0,1.0,BAC
2023-06-12,390,390,0,1.0,BAC
2023-06-13,390,390,0,1.0,BAC
2023-06-14,390,390,0,1.0,BAC
2023-06-15,390,390,0,1.0,BAC
2023-06-16,390,390,0,1.0,BAC
2023-06-20,390,390,0,1.0,BAC
2023-06-21,390,390,0,1.0,BAC
2023-06-22,390,390,0,1.0,BAC
2023-06-23,390,390,0,1.0,BAC
2023-06-26,390,390,0,1.0,BAC
2023-06-27,390,390,0,1.0,BAC
2023-06-28,390,390,0,1.0,BAC
2023-06-29,390,390,0,1.0,BAC
2023-06-30,390,390,0,1.0,BAC
2023-07-03,210,210,0,1.0,BAC
2023-07-05,390,390,0,1.0,BAC
2023-07-06,390,390,0,1.0,BAC
2023-07-07,390,390,0,1.0,BAC
2023-07-10,390,390,0,1.0,BAC
2023-07-11,390,390,0,1.0,BAC
2023-07-12,390,390,0,1.0,BAC
2023-07-13,390,390,0,1.0,BAC
2023-07-14,390,390,0,1.0,BAC
2023-07-17,390,390,0,1.0,BAC
2023-07-18,390,390,0,1.0,BAC
2023-07-19,390,390,0,1.0,BAC
2023-07-20,390,390,0,1.0,BAC
2023-07-21,390,390,0,1.0,BAC
2023-07-24,390,390,0,1.0,BAC
2023-07-25,390,390,0,1.0,BAC
2023-07-26,390,390,0,1.0,BAC
2023-07-27,390,390,0,1.0,BAC
2023-07-28,390,390,0,1.0,BAC
2023-07-31,390,390,0,1.0,BAC
2023-08-01,390,390,0,1.0,BAC
2023-08-02,390,390,0,1.0,BAC
2023-08-03,390,390,0,1.0,BAC
2023-08-04,390,390,0,1.0,BAC
2023-08-07,390,390,0,1.0,BAC
2023-08-08,390,390,0,1.0,BAC
2023-08-09,390,390,0,1.0,BAC
2023-08-10,390,390,0,1.0,BAC
2023-08-11,390,390,0,1.0,BAC
2023-08-14,390,390,0,1.0,BAC
2023-08-15,390,390,0,1.0,BAC
2023-08-16,390,390,0,1.0,BAC
2023-08-17,390,390,0,1.0,BAC
2023-08-18,390,390,0,1.0,BAC
2023-08-21,390,390,0,1.0,BAC
2023-08-22,390,390,0,1.0,BAC
2023-08-23,390,390,0,1.0,BAC
2023-08-24,390,390,0,1.0,BAC
2023-08-25,390,390,0,1.0,BAC
2023-08-28,390,390,0,1.0,BAC
2023-08-29,390,390,0,1.0,BAC
2023-08-30,390,390,0,1.0,BAC
2023-08-31,390,390,0,1.0,BAC
2023-09-01,390,390,0,1.0,BAC
2023-09-05,390,390,0,1.0,BAC
2023-09-06,390,390,0,1.0,BAC
2023-09-07,390,390,0,1.0,BAC
2023-09-08,390,390,0,1.0,BAC
2023-09-11,390,390,0,1.0,BAC
2023-09-12,390,390,0,1.0,BAC
2023-09-13,390,390,0,1.0,BAC
2023-09-14,390,390,0,1.0,BAC
2023-09-15,390,390,0,1.0,BAC
2023-09-18,390,390,0,1.0,BAC
2023-09-19,390,390,0,1.0,BAC
2023-09-20,390,390,0,1.0,BAC
2023-09-21,390,390,0,1.0,BAC
2023-09-22,390,390,0,1.0,BAC
2023-09-25,390,390,0,1.0,BAC
2023-09-26,390,390,0,1.0,BAC
2023-09-27,390,390,0,1.0,BAC
2023-09-28,390,390,0,1.0,BAC
2023-09-29,390,390,0,1.0,BAC
2023-10-02,390,390,0,1.0,BAC
2023-10-03,390,390,0,1.0,BAC
2023-10-04,390,390,0,1.0,BAC
2023-10-05,390,390,0,1.0,BAC
2023-10-06,390,390,0,1.0,BAC
2023-10-09,390,390,0,1.0,BAC
2023-10-10,390,390,0,1.0,BAC
2023-10-11,390,390,0,1.0,BAC
2023-10-12,390,390,0,1.0,BAC
2023-10-13,390,390,0,1.0,BAC
2023-10-16,390,390,0,1.0,BAC
2023-10-17,390,390,0,1.0,BAC
2023-10-18,390,390,0,1.0,BAC
2023-10-19,390,390,0,1.0,BAC
2023-10-20,390,390,0,1.0,BAC
2023-10-23,390,390,0,1.0,BAC
2023-10-24,390,390,0,1.0,BAC
2023-10-25,390,390,0,1.0,BAC
2023-10-26,390,390,0,1.0,BAC
2023-10-27,390,390,0,1.0,BAC
2023-10-30,390,390,0,1.0,BAC
2023-10-31,390,390,0,1.0,BAC
2023-11-01,390,390,0,1.0,BAC
2023-11-02,390,390,0,1.0,BAC
2023-11-03,390,390,0,1.0,BAC
2023-11-06,390,390,0,1.0,BAC
2023-11-07,390,390,0,1.0,BAC
2023-11-08,390,390,0,1.0,BAC
2023-11-09,390,390,0,1.0,BAC
2023-11-10,390,390,0,1.0,BAC
2023-11-13,390,390,0,1.0,BAC
2023-11-14,390,390,0,1.0,BAC
2023-11-15,390,390,0,1.0,BAC
2023-11-16,390,390,0,1.0,BAC
2023-11-17,390,390,0,1.0,BAC
2023-11-20,390,390,0,1.0,BAC
2023-11-21,390,390,0,1.0,BAC
2023-11-22,390,390,0,1.0,BAC
2023-11-24,210,210,0,1.0,BAC
2023-11-27,390,390,0,1.0,BAC
2023-11-28,390,390,0,1.0,BAC
2023-11-29,390,390,0,1.0,BAC
2023-11-30,390,390,0,1.0,BAC
2023-12-01,390,390,0,1.0,BAC
2023-12-04,390,390,0,1.0,BAC
2023-12-05,390,390,0,1.0,BAC
2023-12-06,390,390,0,1.0,BAC
2023-12-07,390,390,0,1.0,BAC
2023-12-08,390,390,0,1.0,BAC
2023-12-11,390,390,0,1.0,BAC
2023-12-12,390,390,0,1.0,BAC
2023-12-13,390,390,0,1.0,BAC
2023-12-14,390,390,0,1.0,BAC
2023-12-15,390,390,0,1.0,BAC
2023-12-18,390,390,0,1.0,BAC
2023-12-19,390,390,0,1.0,BAC
2023-12-20,390,390,0,1.0,BAC
2023-12-21,390,390,0,1.0,BAC
2023-12-22,390,390,0,1.0,BAC
2023-12-26,390,390,0,1.0,BAC
2023-12-27,390,390,0,1.0,BAC
2023-12-28,390,390,0,1.0,BAC
2023-12-29,390,390,0,1.0,BAC
2024-01-02,390,390,0,1.0,BAC
2024-01-03,390,390,0,1.0,BAC
2024-01-04,390,390,0,1.0,BAC
2024-01-05,390,390,0,1.0,BAC
2024-01-08,390,390,0,1.0,BAC
2024-01-09,390,390,0,1.0,BAC
2024-01-10,390,390,0,1.0,BAC
2024-01-11,390,390,0,1.0,BAC
2024-01-12,390,390,0,1.0,BAC
2024-01-16,390,390,0,1.0,BAC
2024-01-17,390,390,0,1.0,BAC
2024-01-18,390,390,0,1.0,BAC
2024-01-19,390,390,0,1.0,BAC
2024-01-22,390,390,0,1.0,BAC
2024-01-23,390,390,0,1.0,BAC
2024-01-24,390,390,0,1.0,BAC
2024-01-25,390,390,0,1.0,BAC
2024-01-26,390,390,0,1.0,BAC
2024-01-29,390,390,0,1.0,BAC
2024-01-30,390,390,0,1.0,BAC
2024-01-31,390,390,0,1.0,BAC
2024-02-01,390,390,0,1.0,BAC
2024-02-02,390,390,0,1.0,BAC
2024-02-05,390,390,0,1.0,BAC
2024-02-06,390,390,0,1.0,BAC
2024-02-07,390,390,0,1.0,BAC
2024-02-08,390,390,0,1.0,BAC
2024-02-09,390,390,0,1.0,BAC
2024-02-12,390,390,0,1.0,BAC
2024-02-13,390,390,0,1.0,BAC
2024-02-14,390,390,0,1.0,BAC
2024-02-15,390,390,0,1.0,BAC
2024-02-16,390,390,0,1.0,BAC
2024-02-20,390,390,0,1.0,BAC
2024-02-21,390,390,0,1.0,BAC
2024-02-22,390,390,0,1.0,BAC
2024-02-23,390,390,0,1.0,BAC
2024-02-26,390,390,0,1.0,BAC
2024-02-27,390,390,0,1.0,BAC
2024-02-28,390,390,0,1.0,BAC
2024-02-29,390,390,0,1.0,BAC
2024-03-01,390,390,0,1.0,BAC
2024-03-04,390,390,0,1.0,BAC
2024-03-05,390,390,0,1.0,BAC
2024-03-06,390,390,0,1.0,BAC
2024-03-07,390,390,0,1.0,BAC
2024-03-08,390,390,0,1.0,BAC
2024-03-11,390,390,0,1.0,BAC
2024-03-12,390,390,0,1.0,BAC
2024-03-13,390,390,0,1.0,BAC
2024-03-14,390,390,0,1.0,BAC
2024-03-15,390,390,0,1.0,BAC
2024-03-18,390,390,0,1.0,BAC
2024-03-19,390,390,0,1.0,BAC
2024-03-20,390,390,0,1.0,BAC
2024-03-21,390,390,0,1.0,BAC
2024-03-22,390,390,0,1.0,BAC
2024-03-25,390,390,0,1.0,BAC
2024-03-26,390,390,0,1.0,BAC
2024-03-27,390,390,0,1.0,BAC
2024-03-28,390,390,0,1.0,BAC
2024-04-01,390,390,0,1.0,BAC
2024-04-02,390,390,0,1.0,BAC
2024-04-03,390,390,0,1.0,BAC
2024-04-04,390,390,0,1.0,BAC
2024-04-05,390,390,0,1.0,BAC
2024-04-08,390,390,0,1.0,BAC
2024-04-09,390,390,0,1.0,BAC
2024-04-10,390,390,0,1.0,BAC
2024-04-11,390,390,0,1.0,BAC
2024-04-12,390,390,0,1.0,BAC
2024-04-15,390,390,0,1.0,BAC
2024-04-16,390,390,0,1.0,BAC
2024-04-17,390,390,0,1.0,BAC
2024-04-18,390,390,0,1.0,BAC
2024-04-19,390,390,0,1.0,BAC
2024-04-22,390,390,0,1.0,BAC
2024-04-23,390,390,0,1.0,BAC
2024-04-24,390,390,0,1.0,BAC
2024-04-25,390,390,0,1.0,BAC
2024-04-26,390,390,0,1.0,BAC
2024-04-29,390,390,0,1.0,BAC
2024-04-30,390,390,0,1.0,BAC
2024-05-01,390,390,0,1.0,BAC
2024-05-02,390,390,0,1.0,BAC
2024-05-03,390,390,0,1.0,BAC
2024-05-06,390,390,0,1.0,BAC
2024-05-07,390,390,0,1.0,BAC
2024-05-08,390,390,0,1.0,BAC
2024-05-09,390,390,0,1.0,BAC
2024-05-10,390,390,0,1.0,BAC
2024-05-13,390,390,0,1.0,BAC
2024-05-14,390,390,0,1.0,BAC
2024-05-15,390,390,0,1.0,BAC
2024-05-16,390,390,0,1.0,BAC
2024-05-17,390,390,0,1.0,BAC
2024-05-20,390,390,0,1.0,BAC
2024-05-21,390,390,0,1.0,BAC
2024-05-22,390,390,0,1.0,BAC
2024-05-23,390,390,0,1.0,BAC
2024-05-24,390,390,0,1.0,BAC
2024-05-28,390,390,0,1.0,BAC
2024-05-29,390,390,0,1.0,BAC
2024-05-30,390,390,0,1.0,BAC
2024-05-31,390,390,0,1.0,BAC
2024-06-03,390,390,0,1.0,BAC
2024-06-04,390,390,0,1.0,BAC
2024-06-05,390,390,0,1.0,BAC
2024-06-06,390,390,0,1.0,BAC
2024-06-07,390,390,0,1.0,BAC
2024-06-10,390,390,0,1.0,BAC
2024-06-11,390,390,0,1.0,BAC
2024-06-12,390,390,0,1.0,BAC
2024-06-13,390,390,0,1.0,BAC
2024-06-14,390,390,0,1.0,BAC
2024-06-17,390,390,0,1.0,BAC
2024-06-18,390,390,0,1.0,BAC
2024-06-20,390,390,0,1.0,BAC
2024-06-21,390,390,0,1.0,BAC
2024-06-24,390,390,0,1.0,BAC
2024-06-25,390,390,0,1.0,BAC
2024-06-26,390,390,0,1.0,BAC
2024-06-27,390,390,0,1.0,BAC
2024-06-28,390,390,0,1.0,BAC
2024-07-01,390,390,0,1.0,BAC
2024-07-02,390,390,0,1.0,BAC
2024-07-03,210,210,0,1.0,BAC
2024-07-05,390,390,0,1.0,BAC
2024-07-08,390,390,0,1.0,BAC
2024-07-09,390,390,0,1.0,BAC
2024-07-10,390,390,0,1.0,BAC
2024-07-11,390,390,0,1.0,BAC
2024-07-12,390,390,0,1.0,BAC
2024-07-15,390,390,0,1.0,BAC
2024-07-16,390,390,0,1.0,BAC
2024-07-17,390,390,0,1.0,BAC
2024-07-18,390,390,0,1.0,BAC
2024-07-19,390,390,0,1.0,BAC
2024-07-22,390,390,0,1.0,BAC
2024-07-23,390,390,0,1.0,BAC
2024-07-24,390,390,0,1.0,BAC
2024-07-25,390,390,0,1.0,BAC
2024-07-26,390,390,0,1.0,BAC
2024-07-29,390,390,0,1.0,BAC
2024-07-30,390,390,0,1.0,BAC
2024-07-31,390,390,0,1.0,BAC
2024-08-01,390,390,0,1.0,BAC
2024-08-02,390,390,0,1.0,BAC
2024-08-05,390,390,0,1.0,BAC
2024-08-06,390,390,0,1.0,BAC
2024-08-07,390,390,0,1.0,BAC
2024-08-08,390,390,0,1.0,BAC
2024-08-09,390,390,0,1.0,BAC
2024-08-12,390,390,0,1.0,BAC
2024-08-13,390,390,0,1.0,BAC
2024-08-14,390,390,0,1.0,BAC
2024-08-15,390,390,0,1.0,BAC
2024-08-16,390,390,0,1.0,BAC
2024-08-19,390,390,0,1.0,BAC
2024-08-20,390,390,0,1.0,BAC
2024-08-21,390,390,0,1.0,BAC
2024-08-22,390,390,0,1.0,BAC
2024-08-23,390,390,0,1.0,BAC
2024-08-26,390,390,0,1.0,BAC
2024-08-27,390,390,0,1.0,BAC
2024-08-28,390,390,0,1.0,BAC
2024-08-29,390,390,0,1.0,BAC
2024-08-30,390,390,0,1.0,BAC
2024-09-03,390,390,0,1.0,BAC
2024-09-04,390,390,0,1.0,BAC
2024-09-05,390,390,0,1.0,BAC
2024-09-06,390,390,0,1.0,BAC
2024-09-09,390,390,0,1.0,BAC
2024-09-10,390,390,0,1.0,BAC
2024-09-11,390,390,0,1.0,BAC
2024-09-12,390,390,0,1.0,BAC
2024-09-13,390,390,0,1.0,BAC
2024-09-16,390,390,0,1.0,BAC
2024-09-17,390,390,0,1.0,BAC
2024-09-18,390,390,0,1.0,BAC
2024-09-19,390,390,0,1.0,BAC
2024-09-20,390,390,0,1.0,BAC
2024-09-23,390,390,0,1.0,BAC
2024-09-24,390,390,0,1.0,BAC
2024-09-25,390,390,0,1.0,BAC
2024-09-26,390,390,0,1.0,BAC
2024-09-27,390,390,0,1.0,BAC
2024-09-30,390,390,0,1.0,BAC
2024-10-01,390,390,0,1.0,BAC
2024-10-02,390,390,0,1.0,BAC
2024-10-03,390,390,0,1.0,BAC
2024-10-04,390,390,0,1.0,BAC
2024-10-07,390,390,0,1.0,BAC
2024-10-08,390,390,0,1.0,BAC
2024-10-09,390,390,0,1.0,BAC
2024-10-10,390,390,0,1.0,BAC
2024-10-11,390,390,0,1.0,BAC
2024-10-14,390,390,0,1.0,BAC
2024-10-15,390,390,0,1.0,BAC
2024-10-16,390,390,0,1.0,BAC
2024-10-17,390,390,0,1.0,BAC
2024-10-18,390,390,0,1.0,BAC
2024-10-21,390,390,0,1.0,BAC
2024-10-22,390,390,0,1.0,BAC
2024-10-23,390,390,0,1.0,BAC
2024-10-24,390,390,0,1.0,BAC
2024-10-25,390,390,0,1.0,BAC
2024-10-28,390,390,0,1.0,BAC
2024-10-29,390,390,0,1.0,BAC
2024-10-30,390,390,0,1.0,BAC
2024-10-31,390,390,0,1.0,BAC
2024-11-01,390,390,0,1.0,BAC
2024-11-04,390,390,0,1.0,BAC
2024-11-05,390,390,0,1.0,BAC
2024-11-06,390,390,0,1.0,BAC
2024-11-07,390,390,0,1.0,BAC
2024-11-08,390,390,0,1.0,BAC
2024-11-11,390,390,0,1.0,BAC
2024-11-12,390,390,0,1.0,BAC
2024-11-13,390,390,0,1.0,BAC
2024-11-14,390,390,0,1.0,BAC
2024-11-15,390,390,0,1.0,BAC
2024-11-18,390,390,0,1.0,BAC
2024-11-19,390,390,0,1.0,BAC
2024-11-20,390,390,0,1.0,BAC
2024-11-21,390,390,0,1.0,BAC
