symbol,trading_days,expected_bars,observed_bars,missing_bars,avg_daily_coverage,worst_daily_coverage,total_coverage,median_volume,mean_volume,median_trade_count,mean_trade_count,total_coverage_pct,avg_daily_coverage_pct,worst_daily_coverage_pct
BAC,924,358920,358916,4,0.9999888999889001,0.9897435897435898,0.9999888554552546,55108.0,83917.17379832607,351.0,458.81736673762106,99.99888554552547,99.99888999889001,98.97435897435898
XLF,924,358920,358916,4,0.9999888999889001,0.9897435897435898,0.9999888554552546,58751.0,100597.87110075896,176.0,242.37625516834024,99.99888554552547,99.99888999889001,98.97435897435898
SPY,924,358920,358916,4,0.9999888999889001,0.9897435897435898,0.9999888554552546,101032.5,150714.23563173556,1232.0,1632.7529867712778,99.99888554552547,99.99888999889001,98.97435897435898
JPM,924,358920,358914,6,0.99998334998335,0.9897435897435898,0.999983283182882,11871.0,18244.065107518793,268.0,350.20338576929294,99.9983283182882,99.998334998335,98.97435897435898
USB,924,358920,358897,23,0.9999361749361749,0.9897435897435898,0.9999359188677143,11939.0,20577.03166089435,155.0,209.58913281526455,99.99359188677143,99.99361749361749,98.97435897435898
C,924,358920,358883,37,0.999897324897325,0.9897435897435898,0.9998969129611055,18957.0,30238.502890914307,239.0,315.2767726529259,99.98969129611055,99.9897324897325,98.97435897435898
SCHW,924,358920,358881,39,0.9998917748917748,0.9692307692307692,0.9998913406887329,11718.0,21773.19390550071,179.0,250.50400271956443,99.98913406887328,99.98917748917748,96.92307692307692
TFC,924,358920,358871,49,0.9998640248640249,0.9846153846153847,0.9998634793268695,10858.0,18788.551540804358,139.0,187.69355840956777,99.98634793268695,99.9864024864025,98.46153846153847
WFC,924,358920,358858,62,0.9998279498279499,0.9717948717948718,0.9998272595564471,23002.0,35047.199984394945,262.0,337.94085404254605,99.98272595564471,99.98279498279499,97.17948717948718
HBAN,924,358920,358826,94,0.9997343925915355,0.9871794871794872,0.9997381031984843,26064.0,44980.68649150284,115.0,152.84527319647964,99.97381031984844,99.97343925915355,98.71794871794873
KEY,924,358920,358764,156,0.9995670995670995,0.9769230769230769,0.9995653627549315,20460.5,35846.526396182446,116.0,156.58707674125608,99.95653627549315,99.95670995670996,97.6923076923077
MS,924,358920,358682,238,0.9993371707657422,0.9794871794871794,0.9993368995876518,8257.0,13679.996021545547,161.0,215.66968791297026,99.93368995876519,99.93371707657423,97.94871794871794
RF,924,358920,358640,280,0.9992158635015778,0.9358974358974359,0.9992198818678257,12324.0,23019.65760930181,107.0,140.81637854115547,99.92198818678257,99.92158635015778,93.58974358974359
FITB,924,358920,358522,398,0.9988931703217417,0.9461538461538461,0.998891117797838,6694.0,12254.70684923101,107.0,149.60046803264513,99.8891117797838,99.88931703217418,94.61538461538461
CFG,924,358920,358438,482,0.9986600700886415,0.9692307692307692,0.9986570823581856,5943.0,10596.309467746165,98.0,131.4105591483046,99.86570823581856,99.86600700886416,96.92307692307692
SYF,924,358920,357340,1580,0.9955132169417883,0.8051282051282052,0.9955979048255879,4845.0,8246.074035932166,89.0,119.20091789332288,99.55979048255878,99.55132169417882,80.51282051282051
COF,924,358920,356893,2027,0.9943346336203479,0.8871794871794871,0.9943525019502953,4130.0,7200.386188577529,105.0,144.65977758039526,99.43525019502954,99.43346336203479,88.71794871794872
AXP,924,358920,356871,2049,0.9942949907235621,0.8974358974358975,0.9942912069541959,3582.0,5886.7368040552465,118.0,156.15739300755735,99.4291206954196,99.42949907235621,89.74358974358975
FHN,924,358920,356823,2097,0.9941641691641692,0.8923076923076924,0.9941574724172517,7151.0,15699.455220095117,71.0,105.05598854333941,99.41574724172517,99.41641691641692,89.23076923076924
GS,924,358920,353224,5696,0.9841483912912484,0.823076923076923,0.9841301682826257,2837.0,4671.328737571626,112.0,148.7110332253754,98.41301682826257,98.41483912912484,82.3076923076923
